planid,planname,planname (groups)
1177,ROHO SILVER,SILVER CUSTOMIZED
1178,YASA SILVER,SILVER CUSTOMIZED
1179,OKKG SILVER,SILVER CUSTOMIZED
1180,AIR SILVER,SILVER CUSTOMIZED
1181,EIE Silver,SILVER CUSTOMIZED
1182,TIC SILVER,SILVER CUSTOMIZED
1183,BCKM SILVER,SILVER CUSTOMIZED
1184,LAND GOLD,GOLD CUSTOMISED
1185,OCHE SILVER,SILVER CUSTOMIZED
1186,OCHE GOLD PLUS,GOLD PLUS CUSTOMISED
1187,YINK BRONZE,BRONZE CUSTOMIZED
1188,TACS BRONZE,BRONZE CUSTOMIZED
1189,UNVA BRONZE,BRONZE CUSTOMIZED
1190,NAUT BRONZE,BRONZE CUSTOMIZED
1191,SYPH BRONZE,BRONZE CUSTOMIZED
1192,SEPH BRONZE,BRONZE CUSTOMIZED
1193,GREEN BRONZE,BRONZE CUSTOMIZED
1194,MANI BRONZE,BRONZE CUSTOMIZED
1195,MOST BRONZE,BRONZE CUSTOMIZED
1196,FWCL BRONZE,BRONZE CUSTOMIZED
1197,CLIF BRONZE,BRONZE CUSTOMIZED
1198,IWET BRONZE,BRONZE CUSTOMIZED
1199,MORG BRONZE,BRONZE CUSTOMIZED
12,Customize Silver,SILVER CUSTOMIZED
1200,LIRL BRONZE,BRONZE CUSTOMIZED
1201,TILT BRONZE,BRONZE CUSTOMIZED
1202,ITCA BRONZE,BRONZE CUSTOMIZED
1203,EZIO SILVER,SILVER CUSTOMIZED
1204,CLIN BRONZE,BRONZE CUSTOMIZED
1205,LIRL SILVER,SILVER CUSTOMIZED
1206,CORC SILVER,SILVER CUSTOMIZED
1207,IWET SILVER,SILVER CUSTOMIZED
1208,CLIN SILVER,SILVER CUSTOMIZED
